Metric Name (CN),English Name,English Abbreviation,Category,Lower Bound,Upper Bound,Unit,Professional Interpretation,Recommendations,Applicable Scope,Health Interpretation,Aliases
(3) Helps distinguish respiratory infection types. CRP can be used for differential diagnosis of bacterial and viral infections: CRP levels increase in bacterial infections; while in viral infections, CRP does not increase or increases slightly. Therefore, CRP values can help doctors distinguish the type of respiratory infection and provide targeted medication and treatment.,,,,,,,,,
(4) CRP is elevated in malignant tumor patients. Combined detection of CRP and AFP can be used for differential diagnosis of liver cancer and benign liver diseases, and applied to the assessment of liver cancer efficacy and prognosis. CRP rises before surgery and decreases after surgery, and its response is not affected by radiotherapy, chemotherapy, and corticosteroid treatment, which helps assess tumor progression.,,,,,,
(5) Assess the severity of acute pancreatitis. When CRP is above 250 mg/L, it suggests extensive necrotizing pancreatitis.,,,,,,,,,,
"(6) Using hypersensitive latex-enhanced method to measure CRP can improve the sensitivity of measurement and can be used for predicting the risk of coronary heart disease and myocardial infarction.""",Adults,,,,,,,,,,
DNA polymerase,DNA polymerase,DNAP,Enzyme Assay,0,25,cpm,Genes are the material basis of heredity, determining the biological characteristics of pathogens. Except for individual viruses, all known microorganisms use nucleic acids as genetic material. The gene of hepatitis B virus is deoxyribonucleic acid (DNA)," which is closely related to DNA polymerase necessary for virus replication. Therefore, genetic testing has become a component of hepatitis B testing.,The activity of this enzyme can be detected early in hepatitis B virus infection, even before HBsAg appears. It can serve as a marker for hepatitis B virus replication and infectivity.,Persistent hepatitis B virus infection, acute hepatitis B latent period, initial stage, proliferation period, chronic hepatitis B, chronic hepatitis B with e-antibody positive, high DNA polymerase levels indicate liver function deterioration.,Elevated: Persistent hepatitis B virus infection, acute hepatitis B latent period, initial stage, proliferation period, chronic hepatitis B, chronic hepatitis B with e-antibody positive, high DNA polymerase levels indicate liver function deterioration. Decreased: Chronic hepatitis B with e-antigen positive.",
Glutamate dehydrogenase,Glutamate dehydrogenase,GLUD,Liver Function,2.5,80,U/L,This enzyme is concentrated in the mitochondrial matrix of animal hepatocytes and is one of the key enzymes in the urea cycle. In mammalian metabolism, it is both an important participant in amino acid catabolism and the sole carbon source supplier for ammonia assimilation. Elevated serum L-glutamate dehydrogenase activity can serve as a specific indicator of hepatocyte mitochondrial damage.,In clinical testing," it can be measured by ELISA, enzyme-coupled method, or colorimetric method. When storing, note that lyophilized powder can be stably stored at -20°C for 12 months, and suspension preparations should avoid repeated freeze-thaw cycles.,Widely used in the detection of metabolic products such as ammonia and ketoglutarate, as well as in research fields such as the pathogenesis of hepatic encephalopathy.,Abnormal activity of this enzyme may reflect hepatocyte mitochondrial damage, and the normal activity range is crucial for maintaining amino acid metabolism and ammonia detoxification functions.",
N-acetyltransferase,N-acetyltransferase,NAT,Enzyme Assay,,,,N-acetyltransferase (NAT) is a class of enzymes that catalyze the transfer of acetyl groups between acetyl-CoA and amine substrates, with the systematic classification number E.C.2.3.1.5. This enzyme has substrate specificity for aromatic amines and can modify amine substances through acetyl-CoA-mediated acetylation reactions, or directly transfer acetyl groups between two aromatic amine molecules. The enzymes encoded by NAT1 and NAT2 genes in the human genome are involved in drug metabolism and detoxification," with NAT1 distributed in peripheral tissues and NAT2 mainly present in the liver. The genetic polymorphisms of both lead to individual differences in acetylation metabolic capacity and are listed by the FDA as pharmacogenomic biomarkers.,,Drug metabolism and detoxification,",
Lysozyme,Lysozyme,LZM,Enzyme Assay,3,3,None,By specifically cleaving the 1,4-glycosidic bond between N-acetylmuramic acid and N-acetylglucosamine in peptidoglycan molecules, it disrupts the integrity of Gram-positive bacterial cell walls," leading to osmotic imbalance and cell lysis. It has limited effect on Gram-negative bacteria because their outer membrane structure prevents enzyme molecules from contacting the peptidoglycan layer.,Often combined with Nisin, citric acid and other substances for application in food preservation.,Food preservation,This enzyme has excellent thermal stability under acidic conditions (retains 87% activity after heating at 96°C for 15 minutes at pH 3.0), and the coating solution made by combining it with chitosan has a significant inhibitory effect on the total bacterial count growth in cured meat products.",
Endoproteinase Glu-C,Endoproteinase Glu-C,GluC,Enzyme Assay,4,10,U/mg,V8 protease (EC 3.4.21.19) is a member of the serine protease family, mainly derived from Staphylococcus aureus strain V8. This enzyme can specifically hydrolyze peptide bonds at the carboxyl side of glutamic acid (Glu) or aspartic acid (Asp) residues, and its cleavage sites are affected by buffer pH: it can recognize both Glu and Asp in phosphate buffer at pH 7.8," while it only acts on Glu in ammonium acetate buffer at pH 4.0, with a higher hydrolysis rate for Glu.,This enzyme should be stored at 20 or 28°C, and the lyophilized powder form can be stably stored for 12 months. Protective measures should be taken during use to avoid skin and eye contact.,Protein sequencing, peptide mapping analysis, and proteomics research,This enzyme belongs to hazardous chemicals (H315, H334, etc.), and protective equipment should be worn when handling to prevent skin and eye contact. Purity is ensured through electrophoretic detection during production to avoid animal-derived contamination.",
Gamma-glutamyl transferase,Gamma-glutamyl transferase,GGT,Liver Function,0,50,U/L,Glutamyl transferase (GGT), also known as γ-glutamyl transferase, is mainly present on hepatocyte membranes and microsomes," participating in glutathione metabolism. It is abundant in the kidneys, liver, and pancreas, but serum GGT mainly comes from the hepatobiliary system. GGT is widely distributed on the bile canaliculus side of hepatocytes and throughout the biliary system in the liver, so when hepatic synthesis is hyperactive or bile excretion is blocked, serum GGT increases.,GGT elevation is seen in the following situations:",
1. Hepatobiliary diseases,,,,,,,,,,,
Serum GGT rises highest in patients with intrahepatic or posthepatic bile duct obstruction, reaching 5-30 times normal levels. GGT has higher sensitivity than alkaline phosphatase for obstructive jaundice cholangitis and cholecystitis. GGT levels also increase in patients with primary or secondary hepatitis, and the increase is more significant than other liver enzymes. GGT is moderately elevated in acute hepatitis, fatty liver, and drug poisoning, generally 2-5 times the normal reference value. GGT values can increase in alcoholic cirrhosis and most heavy drinkers. Persistent GGT elevation in patients with chronic hepatitis and cirrhosis suggests unstable condition or worsening trend; gradual decline suggests migration of intrahepatic lesions to inactive areas. In primary liver cancer, serum GGT activity is significantly elevated, especially in determining whether malignant tumor patients have liver metastasis and whether liver cancer has recurred after surgery, with a positive rate of up to 90%.,,,
2. Pancreatic diseases,,,,,,,,,,,
In acute and chronic pancreatitis and pancreatic tumors, it can reach 5-15 times the upper reference limit. GGT values can increase in cystic fibrosis (pancreatic fibrocystic disease) with liver complications.,,,,,,,,,,
3. Other diseases,,,,,,,,,,,
Fatty liver, myocardial infarction, prostate tumors.,,,,,,,,,
4. Drugs,,,,,,,,,,,
Anticonvulsant phenytoin sodium, sedative phenobarbital," or ethanol often cause GGT elevation.""",Adults,,,,,,,,
Gamma-glutamyl transpeptidase,Gamma-glutamyl transpeptidase,GGT,Liver Function,7,45,U/L,Related to biliary tract diseases, alcohol, and drug metabolism induction.,"Hepatobiliary system evaluation is recommended when significantly elevated.,Adults, Children,GGT is an important indicator for assessing biliary function and hepatotoxic reactions.",
Epithelial cells,Epithelial cells,EC,Urine Routine,0,5,/HP,Normal adult urine typically contains 0-5 epithelial cells per high-power field, with women possibly having slightly more but not exceeding 10 (mainly squamous epithelial cells). The number of epithelial cells is affected by sampling methods, body fluid types," physiological status, and other factors, and should be comprehensively judged in combination with specific test items and clinical manifestations.,Increased quantity 1.",
Physiological increase: Female urine contamination (such as vaginal secretions), after intense exercise, or insufficient water intake leading to urine concentration.,,,,,,,,,
Pathological increase:,,,,,,,,,,,
Squamous epithelial cells: Local infections such as urethritis and vaginitis.,,,,,,,,,,,
Transitional epithelial cells: Cystitis, ureteral stones.,,,,,,,,,,
Renal tubular epithelial cells: Acute renal tubular necrosis, renal transplant rejection.,,,,,,,,,,
Morphological abnormalities 2.,,,,,,,,,,,
Keratinized cells: Long-term chronic stimulation (such as sputum from smokers).,,,,,,,,,,,
Nuclear atypia cells: Need to be alert to the possibility of precancerous lesions or malignant tumors," requiring further biopsy confirmation.""",Adults,,,,,,,,,
Neutrophil percentage,Neutrophil percentage,NEU%,Blood Routine,50,75,%,"Usually, elevated neutrophils indicate that the body is in an alert state, such as inflammation or injury. Common possible situations are as follows:",,,,
1. Bacterial infection: Such as tonsillitis, pneumonia, appendicitis, etc. At this time, due to bacterial invasion in the body, neutrophils act as border guards and enter an alert state, leading to their increase.,,,,,
2. Stress response: Burns, myocardial infarction, and particularly intense exercise, etc. At this time, the body is in a state of stress or injury, causing the immune system to activate, which also leads to elevated neutrophils to cope with body damage and stress recovery.,,,,,
3. Hormonal influence: Under some special circumstances, the immune system is affected by hormones (such as during pregnancy, use of glucocorticoid drugs like prednisone), which can also cause immune system activation leading to elevated neutrophils.,,,,,,,,
What changes in the body do decreased neutrophils indicate?,,,,,,,,,,,
Usually, decreased neutrophils often indicate that the body's immune function is insufficient or impaired. Common possible situations are as follows:,,,,,,,,,,
1. Viral infection: Such as influenza and other diseases. Since viruses mainly hide in human cells to disrupt health, neutrophils are not good at clearing pathogens inside cells, leading to limited response (but don't worry, lymphocytes in the body are very good at dealing with viral infections, so viral infections are often accompanied by elevated lymphocytes to enhance combat capability, which is why blood routine tests need to be combined with lymphocyte and other indicators to diagnose diseases).,,,,,,
2. Radiotherapy/chemotherapy: Since radiotherapy/chemotherapy can damage the bone marrow," and the bone marrow serves as the """"training ground"""" for neutrophils", damage will reduce neutrophil production, so patients need to be alert to infections at this time and wait for the body to recover.,,,,,,,,
3. Other situations: Such as autoimmune diseases (lupus erythematosus, rheumatoid arthritis, etc.), the body's immune system is dysregulated, sometimes causing neutrophils to be mistakenly damaged. In addition, some malnutrition and trace element deficiencies can also lead to decreased neutrophil counts.,,,,,,
Note: Although decreased neutrophils indicate immune dysfunction or insufficiency," this does not mean that increasing neutrophils can solve the problem and improve immunity. Do not believe unsubstantiated immunity-boosting supplements on the market.""","Neutrophils serve as the body's immune """"border guards""""", and changes in their numbers can indicate multiple health indicators. There is no need to panic excessively during diagnosis. Cooperating with doctors' diagnosis and taking reasonable treatment can help the body recover quickly.,Adults,,,,,,,
Neutrophil count,Neutrophil count,NEU#,Blood Routine,2.75,7.5,10^9/L,Neutrophil absolute count is a quantitative indicator of neutrophils in white blood cells, accounting for 70% of the total white blood cell count, with the function of phagocytizing bacteria and resisting infection. The normal range is 2.5-7.5×10⁹/L," showing pink neutral granules through hematoxylin-eosin staining. Absolute value elevation is commonly seen in bacterial infections, intense exercise, or pain stimulation; reduction is divided into granulocytopenia (×10⁹/L) and agranulocytosis (×10⁹/L). Causes of neutropenia include drug toxicity, infection, autoimmune diseases, bone marrow failure, or genetic defects.,International guidelines propose stratified intervention and precision repair strategies: mild reduction (1.0-1.5×10⁹/L) adopts observation, cause removal, and nutritional support; moderate to severe reduction (×10⁹/L) uses granulocyte colony-stimulating factor and immunosuppressive therapy. Etiology-oriented treatment covers drug/infection-related (G-CSF combined with antibiotics), hereditary (CRISPR-Cas9 gene therapy), and autoimmune (complement inhibitor eculizumab). Infection prevention and control includes prophylactic medication (oral ciprofloxacin + fluconazole when ANC×10⁹/L) and immunoglobulin therapy.,Adults,",
Hepatitis B e antibody,Hepatitis B e antibody,Anti-HBe,Infectious Disease,,,,Hepatitis B e antibody is the corresponding antibody produced by the body in response to HBeAg stimulation. Like anti-HBc, it also has no protective effect. It was previously thought that anti-HBe positivity indicated the absence of HBV in the body and no infectivity, which was a sign of good prognosis. However," studies have shown that some patients with anti-HBe positivity have never had HBeAg in their serum because HBV gene mutations prevent HBeAg secretion. In this case, although there is no HBeAg in the serum, the virus is still replicating, and the disease may worsen.,Hepatitis B e antibody positivity indicates that viral replication in the body is suppressed to varying degrees, indicating reduced HBV in the blood and decreased infectivity. However, it should be pointed out that hepatitis B e antibody cannot effectively kill the hepatitis B virus. As long as there is hepatitis B virus in the body, treatment is necessary, and if hepatitis B patients with e antibody positivity are not treated in time, they may convert to e antigen positivity.,Chronic hepatitis B patients, asymptomatic hepatitis B surface antigen carriers,Hepatitis B e antibody positivity mainly appears in asymptomatic hepatitis B surface antigen carriers and chronic hepatitis B patients. This indicates that viral replication in the body is suppressed to varying degrees, indicating reduced HBV in the blood and decreased infectivity.",
Hepatitis B core antibody,Hepatitis B core antibody,Anti-HBc,Infectious Disease,Negative,Positive,None,Hepatitis B core antibody is also called anti-HBc, with the English abbreviation HBcAb. After HBV infection, this antibody can be detected in the serum of most people. It is a sensitive serological marker and an early marker of acute hepatitis B infection. It exists in the serum for a long time," and some people have high titers. It is not a protective antibody. HBcAb can be divided into three types: anti-HBcIgM, anti-HBcIgA, and anti-HBcIgG. In HBV infection, these types appear sequentially and also disappear sequentially, with only the IgG type persisting long-term.,Positivity indicates a history of hepatitis B infection or current infection. Free hepatitis B HBcAg generally does not appear in the blood, but it is highly immunogenic. Anti-HBc antibody is the earliest HBV marker antibody in serum after HBV infection, and may be the only detectable serological marker antibody during the """"window period"""" of infection.,Infectious Disease Department, Gastroenterology Department,It is generally believed that low-titer anti-HBc antibody has epidemiological significance, while high-titer anti-HBc antibody is a sign of infection. However, there are exceptions. Anti-HBcIgM type often indicates acute HBV infection, or acute exacerbation of chronic hepatitis B, or chronic hepatitis B entering an active phase. Anti-HBcIgG type often indicates chronic HBV infection or past infection.",
Hepatitis B surface antibody,Hepatitis B surface antibody,Anti-HBs,Infectious Disease,Negative or P/N<2.1,>10IU/L,IU/L,Hepatitis B surface antibody is the corresponding antibody produced by the body in response to HBsAg stimulation. It can bind to HBsAg and, together with other immune systems in the body, clear the virus and protect the body from HBV infection. Anti-HBs is a neutralizing antibody with specific protective function," indicating that the body has developed immunity.,Anti-HBs positivity proves a history of hepatitis B virus infection, and the body has developed certain immunity. Injection of hepatitis B vaccine or anti-HBs immunoglobulin can result in a positive anti-HBs reaction. Anti-HBs is a protective antibody, and only when the antibody titer in the blood is 1:64 or P/N>10 does it have protective and neutralizing effects on the body.,Hepatitis B two-and-a-half test content,Anti-HBs is a serological marker of disease recovery and good prognosis. After HBsAg turns negative in acute hepatitis B patients, at least 80% of people can detect anti-HBs.",
Hepatitis B surface antigen,Hepatitis B surface antigen,HBsAg,Infectious Disease,0.18,1,ng/ml,The outer shell of the hepatitis B virus contains surface antigen, HBsAg, which itself is not infectious but has antigenicity and is one of the markers of hepatitis B virus infection. It can indicate past infection with hepatitis B virus or current infection with hepatitis B virus.,"Regularly check hepatitis B surface antibody status and receive booster hepatitis B vaccination every 3-4 years.,Hepatitis B virus infection detection,Hepatitis B surface antigen positivity indicates infection with hepatitis B virus, but the specific infectivity needs to be judged in combination with other test items. Surface antigen turning negative indicates recovery from hepatitis B and no longer being infectious.",
N-acetylglutamate synthase,N-acetylglutamate synthase,NAGS,Enzyme Assay,,,,An enzyme that catalyzes the condensation reaction of acetyl-CoA and glutamate, it is a key enzyme in the urea cycle and amino acid metabolism. By catalyzing the generation of N-acetylglutamate (AGA) from glutamate and acetyl-CoA, it acts as an allosteric activator of carbamoyl phosphate synthetase I (CPSI)," regulating the initial step of urea synthesis. In microbial metabolic engineering, this enzyme is encoded by the argA gene and is the rate-limiting enzyme for ornithine biosynthesis, with its activity regulation directly affecting metabolic flux. Recent research has found that its expression is regulated by epigenetics and is related to tumor cell metabolic adaptability.,,Biochemistry and Molecular Biology (first-level discipline), Enzymes (second-level discipline),In mammalian liver, this enzyme catalyzes the generation of N-acetylglutamate (AGA), and by binding with carbamoyl phosphate synthetase I (CPSI), it increases its activity by more than 5 times, thereby promoting the generation of carbamoyl phosphate. This process is the rate-limiting step of the urea cycle, and the generation of each molecule of urea requires consumption of 2 molecules of AGA. Arginine can promote urea generation by positively regulating the activity of this enzyme, and this mechanism is applied in the clinical treatment of hyperammonemia.",
Lactate dehydrogenase,Lactate dehydrogenase,LDH,Myocardial Injury Related,35,88,U/L,Lactate dehydrogenase is one of the important enzyme systems in anaerobic glycolysis and gluconeogenesis, catalyzing the reduction and oxidation reactions between pyruvate and L-lactate. It is widely distributed in human tissues, with the highest content in the kidneys," followed by the myocardium and skeletal muscle. LDH in red blood cells is about 100 times that of normal serum.,Specimens should not be hemolyzed, and serum should be used rather than plasma. If blood clots are not completely removed from the serum, LDH activity will significantly increase whether the specimen is stored at 4°C or room temperature.,Diagnosis of myocardial infarction, liver disease, and certain malignant tumors.,Elevated lactate dehydrogenase is commonly seen in myocardial infarction, liver diseases, blood diseases, skeletal muscle injury, pulmonary infarction, etc. Decreased lactate dehydrogenase has no significance.",
Nitrite,Nitrite,NIT,Urine Routine,0,3,mg/kg,Nitrite is a salt of nitrous acid, containing nitrite NO2- ions, and is an ionic compound. It is generally colorless in appearance and slightly salty in taste. Nitrites of alkali metals and alkaline earth metals are easily soluble in water," with high thermal decomposition temperatures, and do not decompose even in the molten state; nitrites of heavy metals are slightly soluble in water with low thermal decomposition temperatures. Decomposition products are generally nitrogen oxide, nitrogen dioxide, and metal oxides.,1. Vegetables should be properly stored to prevent rotting, and rotten vegetables should not be eaten. 2. Leftover cooked vegetables should not be stored at high temperatures for a long time before consumption. 3. Do not eat large amounts of freshly pickled vegetables; when pickling, more salt should be added, and they should be pickled for at least 15 days before consumption. 4. Do not eat large amounts of leafy vegetables in a short time, or blanch them in boiling water for 5 minutes, discard the water, and then cook. 5. The amount of nitrate and nitrite in meat products should strictly comply with national health standards and should not be added excessively. 6. Eat more vitamin C and vitamin E, as well as fresh fruits.,Food processing, organic synthesis, azo dye production, dye manufacturing, pharmaceuticals, etc.,Nitrite is toxic, and ingestion of small amounts can cause poisoning. External manifestations include cyanosis due to tissue hypoxia, such as cyanosis of the lips, nails, and tongue tip, and in severe cases, cyanosis of the conjunctiva, face, and entire body skin. Mild cases may experience dizziness, headache, tinnitus, fatigue, rapid heartbeat, drowsiness or irritability, nausea, vomiting, abdominal pain, diarrhea, limb numbness, difficulty breathing, etc. Severe poisoning cases may experience, in addition to the above symptoms, confusion, convulsions, coma, arrhythmia, incontinence, shock, and even circulatory failure and pulmonary edema, often dying from respiratory failure. In addition, nitrite can seriously pollute water bodies.",
Alternative oxidase,Alternative oxidase,AOX,Enzyme Assay,,,,Alternative oxidase is the terminal oxidase in the cyanide-resistant respiratory pathway of the mitochondrial respiratory chain on the inner membrane of plant mitochondria. Its function is to transfer electrons from UQH2 to O2 through FP to generate H2O. This enzyme is not inhibited by cyanide, but is easily inhibited by salicylhydroxamic acid. The molecular weight of alternative oxidase is 2710337103, and it is a diiron carboxylate protein," with Fe2 as the metal in its active center. It not only has the structural characteristics common to other diiron carboxylate proteins and the function of removing molecular oxygen, but more importantly, it can actively regulate the operation degree of the cyanide-resistant respiratory pathway by changing its own structure, thereby regulating various aspects of cell metabolism and function to adapt to environmental changes, enhance plant adaptability to various adversities, regulate plant growth rate, and is related to cell apoptosis and photosynthesis.,,Higher plants and some fungi and algae,",
Low-density lipoprotein,Low-density lipoprotein,LDL,Blood Lipid,0,3.12,mmol/L,Low-density lipoprotein is a lipoprotein particle that transports cholesterol into peripheral tissue cells. It can be oxidized to oxidized low-density lipoprotein. When low-density lipoprotein, especially oxidized modified low-density lipoprotein (OX-LDL), is excessive," the cholesterol it carries accumulates on the arterial wall, which can easily cause arteriosclerosis over time. Therefore, low-density lipoprotein is called """"bad cholesterol""""."",Preventing the oxidation of low-density lipoprotein and moderately reducing low-density lipoprotein is of great significance for the prevention and treatment of atherosclerosis. LDL levels can be reduced through dietary adjustments, increased exercise, and reduced mental stress.,Applicable for assessing cardiovascular disease risk, especially the risk of atherosclerosis and coronary heart disease.,Excessively high low-density lipoprotein levels increase the risk of cardiovascular diseases, especially serious diseases such as coronary heart disease, stroke, and peripheral arterial disease. Maintaining LDL within the normal range helps maintain cardiovascular health.",
Low-density lipoprotein cholesterol,Low-density lipoprotein cholesterol,LDL-C,Blood Lipid,2.1,3.1,mmol/L,Cholesterol in the blood often exists in the form of lipoproteins, and low-density lipoprotein (LDL) in plasma is the main carrier for transporting endogenous cholesterol, which is degraded and converted by binding to low-density lipoprotein receptors (LDL-R) on cell membranes.,"Achieving LDL targets is of great significance for reducing cardiovascular disease. For people with cardiovascular disease risk factors (meaning they don't have cardiovascular disease yet, but are prone to it): glomerular filtration rate <60ml/min, or age >50 years, combined with diabetes, hypertension, smoking, history of coronary heart disease, LDL cholesterol should be controlled within 2.6mmol/L. For people with a history of cardiovascular disease, it is best to control it within 1.8mmol/L.",LDL-Cholesterol
",Adults,",,,,,,,,,,,
Body mass index,Body mass index,BMI,Physical Measurement,18.5,24.9,kg/m²,Reflects whether body weight is within a healthy range; too low suggests malnutrition, too high suggests overweight or obesity,Maintain a reasonable diet and regular exercise; if deviating," it is recommended to adjust lifestyle or consult a doctor,Adults,BMI is a common tool for assessing obesity and is related to various chronic diseases.",
Body weight,Body weight,BW,Physical Measurement,,,kg,"Body weight: The weight of the body measured naked or wearing work clothes of known weight [1]. In traditional Chinese medicine, body weight is a symptom name. Body fatigue and heaviness. Suwen·""Yin Yang Ying Xiang Da Lun"": ""At fifty, body weight increases, ears and eyes become less sharp."" Body weight growth is not only closely related to bone growth, but also related to the growth of muscles, fat, etc.",,,,
Body weight growth trend: During adolescence, muscle development is more prominent. When height increases rapidly, muscles mainly increase in length and grow significantly; when height growth slows down, muscles mainly increase in fiber thickness and grow significantly," so body weight increases accordingly.""",Weight control programs can use 4 types of therapy: diet and nutrition counseling, behavioral therapy, medication, and surgery. Diet rarely uses traditional diet therapy; instead, it emphasizes changing long-term habits. Most programs teach customers how to eat safely," wisely, and gradually. Changes include increasing the intake of complex carbohydrates (fruits, vegetables, bread, cereal products, pasta products) and reducing the intake of fat and simple carbohydrates. Diets providing 400~800kcal of very low energy are no longer popular because patients can quickly regain their weight,Adults,",
